teamA,teamB,week,season
"Hull City","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Aston Villa","Newcastle United",15,1970-01-01T00:00:02.014Z
"Burnley","Manchester United",15,1970-01-01T00:00:02.014Z
"Arsenal","Manchester City",15,1970-01-01T00:00:02.014Z
"Chelsea","Swansea City",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Burnley",15,1970-01-01T00:00:02.014Z
"Southampton","Newcastle United",15,1970-01-01T00:00:02.014Z
"Stoke City","Leicester City",15,1970-01-01T00:00:02.014Z
"Sunderland","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Everton",15,1970-01-01T00:00:02.014Z
"Liverpool","Aston Villa",15,1970-01-01T00:00:02.014Z
"Manchester United","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Hull City","West Ham United",15,1970-01-01T00:00:02.014Z
"Manchester City","Stoke City",15,1970-01-01T00:00:02.014Z
"Newcastle United","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Sunderland",15,1970-01-01T00:00:02.014Z
"Swansea City","West Bromwich …",15,1970-01-01T00:00:02.014Z
"West Ham United","Southampton",15,1970-01-01T00:00:02.014Z
"Everton","Chelsea",15,1970-01-01T00:00:02.014Z
"Aston Villa","Hull City",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Liverpool",15,1970-01-01T00:00:02.014Z
"Leicester City","Arsenal",15,1970-01-01T00:00:02.014Z
"Chelsea","Leicester City",15,1970-01-01T00:00:02.014Z
"Crystal Palace","West Ham United",15,1970-01-01T00:00:02.014Z
"Southampton","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Swansea City","Burnley",15,1970-01-01T00:00:02.014Z
"Everton","Arsenal",15,1970-01-01T00:00:02.014Z
"Hull City","Stoke City",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Sunderland","Manchester United",15,1970-01-01T00:00:02.014Z
"Manchester City","Liverpool",15,1970-01-01T00:00:02.014Z
"Manchester United","Swansea City",15,1970-01-01T00:00:02.014Z
"Leicester City","Everton",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Hull City",15,1970-01-01T00:00:02.014Z
"Stoke City","Aston Villa",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Sunderland",15,1970-01-01T00:00:02.014Z
"West Ham United","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Arsenal","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Liverpool","Southampton",15,1970-01-01T00:00:02.014Z
"Newcastle United","Manchester City",15,1970-01-01T00:00:02.014Z
"Burnley","Chelsea",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Stoke City",15,1970-01-01T00:00:02.014Z
"Aston Villa","Arsenal",15,1970-01-01T00:00:02.014Z
